species_id	role	path	size_bytes	sha256	record_count	total_length	min_length	max_length	mean_length	gff_seqid_count	gff_gene_count	gff_transcript_count	gff_cds_count	status	notes
GJ_GP523	genome	data/GJ_GP523/GP523.fa.gz	105464103	a6ad18245f159e9d683269c63a862bd5b595a2e928444547d5074f671c6bd2df	22	374988626.0	38632.0	43278726.0	17044937.545454547					PASS	
GJ_GP523	gff3	data/GJ_GP523/GP523.gff3.gz	5151798	d90100de2f9eb030e403187712f7c0905d0d4e3e74c414294d296b45b7240890	417210					19.0	39511.0	39511.0	169094.0	PASS	
GJ_GP523	protein	data/GJ_GP523/GP523_pep.fa.gz	10999202	e6b2640fee6a30346c3cdf4d1484a1b46b86723f8ccf305b87adcc34a0d79f69	39153	14865860.0	49.0	5436.0	379.6863586442929					PASS	
GJ_GP523	cds	data/GJ_GP523/GP523_cds.fa.gz	16261808	6b8a68dd36f46d9a73750192238fc4910f7b4c6660f1ab991ea8d6a3a7f59cc6	39153	44715039.0	150.0	16311.0	1142.0590759328786					PASS	
Wild_GP543	genome	data/Wild_GP543/GP543.fa.gz	109740631	6b47fa163796c3f0301f05ff69b1af8822aeeb12fa2f9a88439946a0442b68a6	18	382452475.0	46265.0	44243707.0	21247359.722222224					PASS	
Wild_GP543	gff3	data/Wild_GP543/GP543.gff3.gz	3475516	57f47a793ce5373e614a5a643a4171f0dbdcd4ed9d9a6b3f8edf230d40f4f637	416080					14.0	39081.0	39081.0	168959.0	PASS	
Wild_GP543	protein	data/Wild_GP543/GP543_pep.fa.gz	8346840	d9db20b8cd273a570aa80fa89d4f1fbe6e1a85d154ac179cebb8b05072deeb71	39081	14978983.0	50.0	5437.0	383.28044318210897					PASS	
Wild_GP543	cds	data/Wild_GP543/GP543_cds.fa.gz	14050553	bc4788d7a30bd7882861b30377aa6500281588974ff6031e74322cd59628b004	39081	44936993.0	150.0	16311.0	1149.8424554131163					PASS	
XI_534M	genome	data/XI_534M/534M.fa.gz	107813553	7cd549b62deb10fc1325dcf983f79c69c82283d4376ff095d5eacc0b77f8b0bb	105	398659260.0	8925.0	44496721.0	3796754.857142857					PASS	
XI_534M	gff3	data/XI_534M/534M.gff3.gz	3472293	4314a337c3a8fef68e33afc5098a15973f865f0d932b5bda3dfc30a75d7d0102	418370					84.0	39694.0	39694.0	169491.0	PASS	
XI_534M	protein	data/XI_534M/534M_pep.fa.gz	8342362	9faebd920baac4f3f8028220686b25c0ac319813fa07ef819e051ef7a36ff37a	39694	15059348.0	50.0	5490.0	379.386002922356					PASS	
XI_534M	cds	data/XI_534M/534M_cds.fa.gz	14078330	87d5e36c195460bed548a02fedb7028e2df0ec3fc2ea91e70f0846486d97a5ba	39694	45178327.0	150.0	16470.0	1138.1651383080566					PASS	
