stable_id	species_id	gene_id	fixture_scope
SpA__Gene01	SpA	Gene01	TOY_ENGINEERING_ONLY
SpA__Gene02	SpA	Gene02	TOY_ENGINEERING_ONLY
SpA__Gene03	SpA	Gene03	TOY_ENGINEERING_ONLY
SpA__Gene04	SpA	Gene04	TOY_ENGINEERING_ONLY
SpA__Gene05	SpA	Gene05	TOY_ENGINEERING_ONLY
SpA__Gene06	SpA	Gene06	TOY_ENGINEERING_ONLY
SpB__Gene01	SpB	Gene01	TOY_ENGINEERING_ONLY
SpB__Gene02	SpB	Gene02	TOY_ENGINEERING_ONLY
SpB__Gene03	SpB	Gene03	TOY_ENGINEERING_ONLY
SpB__Gene04	SpB	Gene04	TOY_ENGINEERING_ONLY
SpB__Gene05	SpB	Gene05	TOY_ENGINEERING_ONLY
SpB__Gene06	SpB	Gene06	TOY_ENGINEERING_ONLY
SpC__Gene01	SpC	Gene01	TOY_ENGINEERING_ONLY
SpC__Gene02	SpC	Gene02	TOY_ENGINEERING_ONLY
SpC__Gene03	SpC	Gene03	TOY_ENGINEERING_ONLY
SpC__Gene04	SpC	Gene04	TOY_ENGINEERING_ONLY
SpC__Gene05	SpC	Gene05	TOY_ENGINEERING_ONLY
SpC__Gene06	SpC	Gene06	TOY_ENGINEERING_ONLY
SpD__Gene01	SpD	Gene01	TOY_ENGINEERING_ONLY
SpD__Gene02	SpD	Gene02	TOY_ENGINEERING_ONLY
SpD__Gene03	SpD	Gene03	TOY_ENGINEERING_ONLY
SpD__Gene04	SpD	Gene04	TOY_ENGINEERING_ONLY
SpD__Gene05	SpD	Gene05	TOY_ENGINEERING_ONLY
SpD__Gene06	SpD	Gene06	TOY_ENGINEERING_ONLY
